inn,name,revenue_year,revenue,segment_tag,source,okved_main,employees,site,phone,email
7801379087,"ООО ""АЛИДИ ПРОДВИЖЕНИЕ""",2024,1600000000,BTL,checko_custom_parser,Деятельность рекламных агентств,617.0,alidi-agency.ru,Неизвестно,agency@alidi.ru
7701810493,"ООО ""ЭМГ""",2024,778600000,BTL,checko_custom_parser,Деятельность рекламных агентств,19.0,Неизвестно,+7 495 330-04-83,Неизвестно
4703090157,"ООО ""АЛИДИ - НОРД""",2024,39600000000,BTL,checko_custom_parser,Торговля оптовая непродовольственными потребительскими товарами,0.0,alidi.ru,+7 817 278-70-23,sverka@alidi.ru
5245000448,"ООО ПРЕДПРИЯТИЕ ""АЛИДИ""",2024,34100000000,BTL,checko_custom_parser,Торговля оптовая непродовольственными потребительскими товарами,0.0,alidi.ru,+7 492 253-03-51,averina.ev@alidi.ru
7715839365,"ООО ""ОЛИМПИК МЕДИА""",2024,489800000,BTL,checko_custom_parser,Деятельность рекламных агентств,25.0,Неизвестно,Неизвестно,Неизвестно
7811395296,"АО ""ЭКСПОФОРУМ""",2024,1400000000,BTL,checko_custom_parser,Аренда и управление собственным или арендованным нежилым недвижимым имуществом,8.0,expoforum.ru,+7 812 318-00-95,info@expoforum.ru
7725641460,"ООО ""ПРОГРЕШЕН""",2024,555100000,BTL,checko_custom_parser,Деятельность рекламных агентств,35.0,progression.ru,Неизвестно,Неизвестно
7811517794,"ООО ""ЭФ-ДИЗАЙН""",2024,1200000000,BTL,checko_custom_parser,Деятельность по организации конференций и выставок,137.0,ef-design.ru,+7 931 578-00-52,tender@ef-design.ru
5260255916,"ООО ""МД-ГРУПП""",2024,305200000,BTL,checko_custom_parser,Деятельность по организации конференций и выставок,0.0,Неизвестно,+7 831 434-04-04,md@marketingdivision.ru
7811518396,"ООО ""ЭФ-ИНТЕРНЭШНЛ""",2024,4099999999,BTL,checko_custom_parser,Деятельность по организации конференций и выставок,400.0,Неизвестно,+7 812 240-40-40,info@expoforum.ru
7701632924,"НАО ""ЭМГ ПРОМО""",2024,719600000,BTL,checko_custom_parser,Деятельность рекламных агентств,20.0,Неизвестно,+7 495 797-86-64,emg@emg.ru
