inn,name,revenue_year,revenue,segment_tag,source,okved_main,employees,region,site,phone,email
7801379087,"ООО ""АЛИДИ ПРОДВИЖЕНИЕ""",2024,1600000000.0,BTL|MERCH,checko_custom_parser,Деятельность рекламных агентств,617.0,Москва,alidi-agency.ru,,agency@alidi.ru
7453253490,"ООО ""АК ""ИДЕЯ-ФИКС""",2024,70100000.0,BTL|MERCH,checko_custom_parser,Деятельность рекламных агентств,11.0,Челябинск,,+7 932 309-00-32,kuptsevich_t@mail.ru
7452116388,"ООО ""ИДЕЯ ФИКС ЦЕРЕМОНИ""",2024,9200000.0,BTL|MERCH,checko_custom_parser,Деятельность рекламных агентств,1.0,Челябинск,,,a.sharovskaya@ideafixgroup.com
7452111990,"ООО ""ИДЕЯ ФИКС БТЛ""",2024,6900000.0,BTL|MERCH,checko_custom_parser,Деятельность рекламных агентств,1.0,Челябинск,,,kuptsevich_t@mail.ru
3906132996,"ООО ""ИДЕЯ ФИКС""",2024,3800000.0,BTL|MERCH,checko_custom_parser,Деятельность рекламных агентств,1.0,Челябинск,idea-fix.com,+7 401 253-42-04,
7707300795,"ООО ""ИДЕЯ ФИКС""",2024,1700000.0,BTL|MERCH,checko_custom_parser,"Деятельность по предоставлению прочих вспомогательных услуг для бизнеса, не включенная в другие группировки",,Челябинск,,+7 495 912-65-01,
7714930438,"ООО ""ИДЕЯ ФИКС ЭДЖЕНСИ""",2024,,BTL|MERCH,checko_custom_parser,Деятельность рекламных агентств,,Челябинск,,+7 916 684-11-55,mmakovey@yandex.ru
7814795207,"ООО ""АЙ-КЬЮ ИНТЕРНЕШНЛ""",2024,107700000.0,BTL,checko_custom_parser,Деятельность рекламных агентств,,Москва,,,sergey_888@mail.ru
7814417460,"ООО ""АЙ КЬЮ МЕДИА""",2024,27600000.0,BTL,checko_custom_parser,Деятельность рекламных агентств,1.0,Москва,iq-spb.com,+7 812 600-61-71,sokol_spb2004@mail.ru
7728475475,"ООО ""АЙ КЬЮ АЙ ЭС""",2024,16399999.0,BTL,checko_custom_parser,Консультирование по вопросам коммерческой деятельности и управления,,Москва,,,
2721184862,"ООО ""АЙ КЬЮ СЕРВИС""",2024,8400000.0,BTL,checko_custom_parser,Деятельность рекламных агентств,1.0,Москва,artkhv.ru,+7 999 794-19-87,
2223644034,"ООО ""КЬЮ ЭС АЙ""",2024,3400000.0,BTL,checko_custom_parser,Консультирование по вопросам коммерческой деятельности и управления,1.0,Москва,,,sheglova_lena@mail.ru
7730270482,"ООО ""АЙ КЬЮ КОНСАЛТ""",2024,,BTL,checko_custom_parser,Консультирование по вопросам коммерческой деятельности и управления,0.0,Москва,,,lervits@gmail.com
9703062046,"ООО ""АЙ КЬЮ МЕДИА""",2024,0.0,BTL,checko_custom_parser,Деятельность рекламных агентств,0.0,Москва,,,
7203366758,"ООО ""АЙ КЬЮ ОНЛАЙН МАРКЕТИНГ""",2024,,BTL,checko_custom_parser,Деятельность рекламных агентств,0.0,Москва,avto1sto.ru,+7 908 874-89-63,personal@iq-adv.ru
6102070858,"ООО ""АЙ КЬЮ""",2024,0.0,BTL,checko_custom_parser,Деятельность рекламных агентств,1.0,Москва,,,
5506202346,"ООО ""АНАЛИТИЧЕСКОЕ АГЕНТСТВО АЙ КЬЮ КОНСАЛТИНГ""",2024,,BTL,checko_custom_parser,Исследование конъюнктуры рынка и изучение общественного мнения,1.0,Москва,iqconsulting.ru,+7 381 289-23-69,iqconsultingemail@gmail.com
7707749887,"ООО ""МАРВЕЛОС""",2024,327700000.0,BTL,checko_custom_parser,Деятельность рекламных агентств,,Москва,,+7 495 604-10-57,friends@marvelous.ru
5406276672,"ООО ""МАРКЕТИНГ ЛЭНД",2024,39600000.0,BTL,checko_custom_parser,Исследование конъюнктуры рынка и изучение общественного мнения,,Новосибирск,m-land.ru,+7 383 203-32-22,m-land@m-land.ru
7203254532,"ООО ""РЕГИОН-МЕДИА""",2024,6000000.0,BTL,checko_custom_parser,Деятельность рекламных агентств,1.0,Хабаровск,,+7 345 239-92-83,region_media@region-tyumen.ru
5262382123,"ООО ""ОКА-ВОЛГА РЕГИОН""",2024,1500000.0,BTL,checko_custom_parser,Деятельность рекламных агентств,1.0,Хабаровск,,,245dan@mail.ru
